Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus
Ont atteint le nombre d'enfants qu'ils souhaitaient/ Ko ɖó vǐ nabi e ba wɛ ye ɖè é,"future_user: 17.35% 
 nonuser: 4.68% 
 past_user: 8.66% 
 user: 12.54%","future_user: 17 
 nonuser: 14 
 past_user: 11 
 user: 37","future_user: 6.4 
 nonuser: 6.7 
 past_user: 15.4 
 user: 14.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 10.51%",,Low,driver,"16-20: 3.45% 
 21-30: 6.4% 
 31-45: 12.34%","16-20: 1 
 21-30: 21 
 31-45: 57","16-20: 0.1 
 21-30: 7.0 
 31-45: 36.3","16-20: 0.0% 
 21-30: 1.22% 
 31-45: 5.84%",,31-45,"Femme Nyɔnu: 11.3% 
 Homme Sunnu: 8.01%","Femme Nyɔnu: 46 
 Homme Sunnu: 33","Femme Nyɔnu: 25.8 
 Homme Sunnu: 17.5","Femme Nyɔnu: 3.69% 
 Homme Sunnu: 3.88%",,"Femme Nyɔnu, Homme Sunnu","Rural: 8.48% 
 Semi-urbain: 13.62% 
 Urbain: 0.0%","Rural: 44 
 Semi-urbain: 35 
 Urbain: 0","Rural: 17.2 
 Semi-urbain: 26.1 
 Urbain: 0.0","Rural: 2.89% 
 Semi-urbain: 6.23% 
 Urbain: 0.0%",,Semi-urbain
Réduction du stress quotidien de la mère : la mère a davantage de temps pour se reposer dans la vie quotidienne/ É nɔ ɖè adohu adohu ayihɔngbe ayihɔngbe tɔn kpò nú nɔ ɔ: nɔ ɔ nɔ ɖó hwenu gègě bo nɔ gbɔjɛ ɖò gbɛzán tɔn ayihɔngbe ayihɔngbe tɔn mɛ,"future_user: 1.02% 
 nonuser: 1.0% 
 past_user: 0.79% 
 user: 2.71%","future_user: 1 
 nonuser: 3 
 past_user: 1 
 user: 8","future_user: 0.2 
 nonuser: 11.8 
 past_user: 0.0 
 user: 10.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.36%",,Low,driver,"16-20: 0.0% 
 21-30: 1.83% 
 31-45: 1.52%","16-20: 0 
 21-30: 6 
 31-45: 7","16-20: 0.0 
 21-30: 6.8 
 31-45: 16.1","16-20: 3.45% 
 21-30: 0.0% 
 31-45: 0.65%",,"16-20, 21-30, 31-45","Femme Nyɔnu: 1.47% 
 Homme Sunnu: 1.7%","Femme Nyɔnu: 6 
 Homme Sunnu: 7","Femme Nyɔnu: 22.0 
 Homme Sunnu: 1.0","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.49%",,"Femme Nyɔnu, Homme Sunnu","Rural: 1.73% 
 Semi-urbain: 1.17% 
 Urbain: 2.33%","Rural: 9 
 Semi-urbain: 3 
 Urbain: 1","Rural: 12.9 
 Semi-urbain: 9.8 
 Urbain: 0.2","Rural: 0.77% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
Réduction du stress quotidien de la mère : les enfants aident aux tâches ménagères/ É nɔ ɖè adohu adohu ayihɔngbe ayihɔngbe tɔn kpò nú nɔ ɔ: vǐ lɛ nɔ d’alɔ ɖò xwégbezɔ́ lɛ mɛ,"future_user: 1.02% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 3.05%","future_user: 1 
 nonuser: 1 
 past_user: 0 
 user: 9","future_user: 0.2 
 nonuser: 0.0 
 past_user: 0.0 
 user: 2.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 2.37%",,Low,driver,"16-20: 0.0% 
 21-30: 1.52% 
 31-45: 1.3%","16-20: 0 
 21-30: 5 
 31-45: 6","16-20: 0.0 
 21-30: 1.7 
 31-45: 1.0","16-20: 0.0% 
 21-30: 1.22% 
 31-45: 0.65%",,"21-30, 31-45","Femme Nyɔnu: 0.74% 
 Homme Sunnu: 1.94%","Femme Nyɔnu: 3 
 Homme Sunnu: 8","Femme Nyɔnu: 0.4 
 Homme Sunnu: 2.3","Femme Nyɔnu: 0.98% 
 Homme Sunnu: 0.73%",,"Femme Nyɔnu, Homme Sunnu","Rural: 2.12% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Rural: 11 
 Semi-urbain: 0 
 Urbain: 0","Rural: 2.7 
 Semi-urbain: 0.0 
 Urbain: 0.0","Rural: 0.96% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%",,Rural
Réduction du stress quotidien de la mère : éviter d'avoir trop d'enfants à charge en même temps/ É nɔ ɖè adohu adohu ayihɔngbe ayihɔngbe tɔn lɛ kpò nú nɔ ɔ: é nɔ nyì alɔ nú vǐ gègě ɖiɖó bo na kpé nukún dó ye wu ɖò hwe ɖokpo ɔ nu,"future_user: 4.08% 
 nonuser: 0.33% 
 past_user: 2.36% 
 user: 3.39%","future_user: 4 
 nonuser: 1 
 past_user: 3 
 user: 10","future_user: 1.1 
 nonuser: 0.1 
 past_user: 1.2 
 user: 39.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.34%",,Low,driver,"16-20: 3.45% 
 21-30: 2.74% 
 31-45: 1.73%","16-20: 1 
 21-30: 9 
 31-45: 8","16-20: 0.0 
 21-30: 3.6 
 31-45: 38.3","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.0%",,"16-20, 21-30","Femme Nyɔnu: 2.7% 
 Homme Sunnu: 1.7%","Femme Nyɔnu: 11 
 Homme Sunnu: 7","Femme Nyɔnu: 39.2 
 Homme Sunnu: 2.7","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.24%",,Homme Sunnu,"Rural: 3.08% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%","Rural: 16 
 Semi-urbain: 2 
 Urbain: 0","Rural: 4.1 
 Semi-urbain: 37.8 
 Urbain: 0.0","Rural: 0.19% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
Éviter les grossesses hors mariage/ Nyì alɔ nú xoɖiɖe ɖò alɔwliwli gudo,"future_user: 2.04% 
 nonuser: 1.34% 
 past_user: 2.36% 
 user: 5.08%","future_user: 2 
 nonuser: 4 
 past_user: 3 
 user: 15","future_user: 0.0 
 nonuser: 0.0 
 past_user: 1.5 
 user: 2.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.05%",,Low,driver,"16-20: 3.45% 
 21-30: 3.05% 
 31-45: 2.81%","16-20: 1 
 21-30: 10 
 31-45: 13","16-20: 0.0 
 21-30: 3.1 
 31-45: 0.7","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 0.87%",,21-30,"Femme Nyɔnu: 0.74% 
 Homme Sunnu: 5.1%","Femme Nyɔnu: 3 
 Homme Sunnu: 21","Femme Nyɔnu: 3.3 
 Homme Sunnu: 0.5","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 1.94%",,Homme Sunnu,"Rural: 3.85% 
 Semi-urbain: 0.78% 
 Urbain: 4.65%","Rural: 20 
 Semi-urbain: 2 
 Urbain: 2","Rural: 1.0 
 Semi-urbain: 0.0 
 Urbain: 2.9","Rural: 1.35% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%",,"Rural, Urbain"
Éviter les grossesses non désirées/ Nyì alɔ nú xo e è ma jló ǎ é .,"future_user: 29.59% 
 nonuser: 9.03% 
 past_user: 33.07% 
 user: 58.98%","future_user: 29 
 nonuser: 27 
 past_user: 42 
 user: 174","future_user: 28.0 
 nonuser: 20.1 
 past_user: 84.2 
 user: 146.4","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 52.2%",,Very high,driver,"16-20: 41.38% 
 21-30: 35.37% 
 31-45: 31.17%","16-20: 12 
 21-30: 116 
 31-45: 144","16-20: 13.6 
 21-30: 93.2 
 31-45: 171.9","16-20: 17.24% 
 21-30: 18.29% 
 31-45: 19.26%",,"16-20, 21-30, 31-45","Femme Nyɔnu: 42.51% 
 Homme Sunnu: 24.03%","Femme Nyɔnu: 173 
 Homme Sunnu: 99","Femme Nyɔnu: 215.4 
 Homme Sunnu: 63.3","Femme Nyɔnu: 23.34% 
 Homme Sunnu: 14.32%",,"Femme Nyɔnu, Homme Sunnu","Rural: 34.87% 
 Semi-urbain: 31.13% 
 Urbain: 25.58%","Rural: 181 
 Semi-urbain: 80 
 Urbain: 11","Rural: 108.4 
 Semi-urbain: 149.4 
 Urbain: 20.9","Rural: 19.27% 
 Semi-urbain: 17.9% 
 Urbain: 18.6%",,"Rural, Semi-urbain, Urbain"
Éviter les maladies hors mariage/ Azɔn e ma ɖò alɔwliwli mɛ ǎ lɛ é nyì alɔ nú,"future_user: 1.02% 
 nonuser: 0.67% 
 past_user: 3.15% 
 user: 5.08%","future_user: 1 
 nonuser: 2 
 past_user: 4 
 user: 15","future_user: 0.0 
 nonuser: 0.0 
 past_user: 0.1 
 user: 2.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.39%",,Low,driver,"16-20: 3.45% 
 21-30: 2.44% 
 31-45: 2.81%","16-20: 1 
 21-30: 8 
 31-45: 13","16-20: 0.0 
 21-30: 0.8 
 31-45: 2.1","16-20: 3.45% 
 21-30: 1.22% 
 31-45: 1.08%",,16-20,"Femme Nyɔnu: 0.25% 
 Homme Sunnu: 5.1%","Femme Nyɔnu: 1 
 Homme Sunnu: 21","Femme Nyɔnu: 0.4 
 Homme Sunnu: 2.5","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 2.43%",,Homme Sunnu,"Rural: 3.66% 
 Semi-urbain: 1.17% 
 Urbain: 0.0%","Rural: 19 
 Semi-urbain: 3 
 Urbain: 0","Rural: 2.5 
 Semi-urbain: 0.4 
 Urbain: 0.0","Rural: 1.73% 
 Semi-urbain: 0.39% 
 Urbain: 0.0%",,Rural
Association des contraceptifs à la promiscuité / l’adultère/ Kplékplé nǔ e nɔ glɔ́n ali nú vǐjiji lɛ é tɔn kpo xóɖóxámɛ / agalɛ kpo tɔn,"future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.79% 
 user: 1.36%","future_user: 0 
 nonuser: 0 
 past_user: 1 
 user: 4","future_user: 0.0 
 nonuser: 0.0 
 past_user: 1.4 
 user: 2.4","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.79% 
 user: 0.0%",,Low,barrier,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.65%","16-20: 0 
 21-30: 2 
 31-45: 3","16-20: 0.0 
 21-30: 1.4 
 31-45: 2.4","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.0%",,"21-30, 31-45","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 0.97%","Femme Nyɔnu: 1 
 Homme Sunnu: 4","Femme Nyɔnu: 0.0 
 Homme Sunnu: 3.7","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.24%",,Homme Sunnu,"Rural: 0.39% 
 Semi-urbain: 0.78% 
 Urbain: 2.33%","Rural: 2 
 Semi-urbain: 2 
 Urbain: 1","Rural: 2.3 
 Semi-urbain: 0.0 
 Urbain: 1.5","Rural: 0.19% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,"Rural, Urbain"
"Autres raisons non mentionnées ici, Veuillez préciser/ Hwɛjijɔ ɖevo e è ma ɖɔ ɖò fí ǎ lɛ é. Mi kɛnklɛn bo ɖɔ","future_user: 8.16% 
 nonuser: 9.36% 
 past_user: 16.54% 
 user: 7.46%","future_user: 8 
 nonuser: 28 
 past_user: 21 
 user: 22","future_user: 3.0 
 nonuser: 12.6 
 past_user: 34.9 
 user: 5.4","future_user: 7.14% 
 nonuser: 4.68% 
 past_user: 14.96% 
 user: 0.0%",,High,barrier,"16-20: 10.34% 
 21-30: 8.84% 
 31-45: 10.17%","16-20: 3 
 21-30: 29 
 31-45: 47","16-20: 0.3 
 21-30: 7.2 
 31-45: 48.4","16-20: 10.34% 
 21-30: 3.66% 
 31-45: 5.41%",,16-20,"Femme Nyɔnu: 11.06% 
 Homme Sunnu: 8.25%","Femme Nyɔnu: 45 
 Homme Sunnu: 34","Femme Nyɔnu: 33.1 
 Homme Sunnu: 22.8","Femme Nyɔnu: 6.14% 
 Homme Sunnu: 3.64%",,"Femme Nyɔnu, Homme Sunnu","Rural: 10.02% 
 Semi-urbain: 10.12% 
 Urbain: 2.33%","Rural: 52 
 Semi-urbain: 26 
 Urbain: 1","Rural: 12.3 
 Semi-urbain: 41.7 
 Urbain: 1.9","Rural: 5.59% 
 Semi-urbain: 4.28% 
 Urbain: 0.0%",,Rural
Ce sujet n'est pas important pour moi/ Xóta elɔ ɖò taji nú mì ǎ,"future_user: 2.04% 
 nonuser: 10.7% 
 past_user: 3.15% 
 user: 2.37%","future_user: 2 
 nonuser: 32 
 past_user: 4 
 user: 7","future_user: 1.2 
 nonuser: 28.7 
 past_user: 0.2 
 user: 3.2","future_user: 2.04% 
 nonuser: 8.36% 
 past_user: 3.15% 
 user: 0.0%",,Low,barrier,"16-20: 6.9% 
 21-30: 6.1% 
 31-45: 4.98%","16-20: 2 
 21-30: 20 
 31-45: 23","16-20: 0.0 
 21-30: 21.9 
 31-45: 11.3","16-20: 6.9% 
 21-30: 3.05% 
 31-45: 4.11%",,16-20,"Femme Nyɔnu: 7.13% 
 Homme Sunnu: 3.88%","Femme Nyɔnu: 29 
 Homme Sunnu: 16","Femme Nyɔnu: 14.2 
 Homme Sunnu: 19.0","Femme Nyɔnu: 6.14% 
 Homme Sunnu: 1.46%",,Femme Nyɔnu,"Rural: 4.62% 
 Semi-urbain: 7.39% 
 Urbain: 4.65%","Rural: 24 
 Semi-urbain: 19 
 Urbain: 2","Rural: 19.0 
 Semi-urbain: 12.2 
 Urbain: 2.0","Rural: 2.5% 
 Semi-urbain: 6.61% 
 Urbain: 2.33%",,Semi-urbain
Contre la religion : Dieu prendra bien soin de tous mes enfants/ Sinsɛn ɔ gbɛ́: Mawu na kpé nukún dó vǐ ce lɛ bǐ wu ganji,"future_user: 1.02% 
 nonuser: 1.67% 
 past_user: 0.0% 
 user: 3.73%","future_user: 1 
 nonuser: 5 
 past_user: 0 
 user: 11","future_user: 1.4 
 nonuser: 3.9 
 past_user: 0.0 
 user: 6.8","future_user: 0.0% 
 nonuser: 0.67% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 3.45% 
 21-30: 2.13% 
 31-45: 1.95%","16-20: 1 
 21-30: 7 
 31-45: 9","16-20: 0.1 
 21-30: 6.2 
 31-45: 5.8","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.43%",,"16-20, 31-45","Femme Nyɔnu: 1.97% 
 Homme Sunnu: 2.18%","Femme Nyɔnu: 8 
 Homme Sunnu: 9","Femme Nyɔnu: 0.7 
 Homme Sunnu: 11.4","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 0.24%",,"Femme Nyɔnu, Homme Sunnu","Rural: 2.7% 
 Semi-urbain: 1.17% 
 Urbain: 0.0%","Rural: 14 
 Semi-urbain: 3 
 Urbain: 0","Rural: 12.0 
 Semi-urbain: 0.1 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Contre la religion : certains modèles religieux n'utilisaient pas de contraception/ Sinsɛn: Sinsɛn ɖé lɛ nɔ zán nǔ e nɔ glɔ́n ali nú vǐjiji lɛ é ǎ,"future_user: 0.0% 
 nonuser: 2.68% 
 past_user: 0.79% 
 user: 4.41%","future_user: 0 
 nonuser: 8 
 past_user: 1 
 user: 13","future_user: 0.0 
 nonuser: 7.5 
 past_user: 1.7 
 user: 12.7","future_user: 0.0% 
 nonuser: 1.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 3.45% 
 21-30: 1.52% 
 31-45: 3.46%","16-20: 1 
 21-30: 5 
 31-45: 16","16-20: 1.7 
 21-30: 5.7 
 31-45: 14.6","16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.22%",,21-30,"Femme Nyɔnu: 2.46% 
 Homme Sunnu: 2.91%","Femme Nyɔnu: 10 
 Homme Sunnu: 12","Femme Nyɔnu: 7.8 
 Homme Sunnu: 14.1","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.24%",,"Femme Nyɔnu, Homme Sunnu","Rural: 2.89% 
 Semi-urbain: 2.33% 
 Urbain: 2.33%","Rural: 15 
 Semi-urbain: 6 
 Urbain: 1","Rural: 18.8 
 Semi-urbain: 1.6 
 Urbain: 1.5","Rural: 0.19% 
 Semi-urbain: 0.39% 
 Urbain: 2.33%",,Urbain
Contre la religion : ma religion n'autorise pas l'espacement des naissances/ Sinsɛn ɔ gbɛ́: Sinsɛn ce nɔ yí gbè nú vǐjiji sín vogbingbɔn ǎ,"future_user: 1.02% 
 nonuser: 1.67% 
 past_user: 0.0% 
 user: 3.05%","future_user: 1 
 nonuser: 5 
 past_user: 0 
 user: 9","future_user: 0.2 
 nonuser: 5.4 
 past_user: 0.0 
 user: 5.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 3.45% 
 21-30: 2.44% 
 31-45: 1.3%","16-20: 1 
 21-30: 8 
 31-45: 6","16-20: 0.1 
 21-30: 6.1 
 31-45: 5.3","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,16-20,"Femme Nyɔnu: 1.72% 
 Homme Sunnu: 1.94%","Femme Nyɔnu: 7 
 Homme Sunnu: 8","Femme Nyɔnu: 2.6 
 Homme Sunnu: 9.0","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,"Femme Nyɔnu, Homme Sunnu","Rural: 1.54% 
 Semi-urbain: 1.95% 
 Urbain: 4.65%","Rural: 8 
 Semi-urbain: 5 
 Urbain: 2","Rural: 8.0 
 Semi-urbain: 1.4 
 Urbain: 2.1","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Urbain
Contre la religion : non spécifié/ Sinsɛn gbɛ́: È ma ɖɔ ǎ,"future_user: 0.0% 
 nonuser: 2.34% 
 past_user: 0.0% 
 user: 7.12%","future_user: 0 
 nonuser: 7 
 past_user: 0 
 user: 21","future_user: 0.0 
 nonuser: 11.9 
 past_user: 0.0 
 user: 19.6","future_user: 1.02% 
 nonuser: 0.67% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 6.9% 
 21-30: 2.74% 
 31-45: 3.68%","16-20: 2 
 21-30: 9 
 31-45: 17","16-20: 0.1 
 21-30: 13.4 
 31-45: 18.1","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.43%",,"16-20, 31-45","Femme Nyɔnu: 2.7% 
 Homme Sunnu: 4.13%","Femme Nyɔnu: 11 
 Homme Sunnu: 17","Femme Nyɔnu: 16.7 
 Homme Sunnu: 14.9","Femme Nyɔnu: 0.74% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 4.24% 
 Semi-urbain: 2.33% 
 Urbain: 0.0%","Rural: 22 
 Semi-urbain: 6 
 Urbain: 0","Rural: 28.5 
 Semi-urbain: 3.1 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 1.17% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Contre la religion : seul Dieu décide de l'espacement des naissances/ Sinsɛn gbɛ́: Mawu kɛɖɛ wɛ nɔ wá gbeta ɔ kɔn dó jijimɛ sín tɛntin wu,"future_user: 1.02% 
 nonuser: 2.01% 
 past_user: 0.79% 
 user: 6.44%","future_user: 1 
 nonuser: 6 
 past_user: 1 
 user: 19","future_user: 0.9 
 nonuser: 8.7 
 past_user: 1.7 
 user: 11.8","future_user: 0.0% 
 nonuser: 0.67% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 3.45% 
 21-30: 1.83% 
 31-45: 4.33%","16-20: 1 
 21-30: 6 
 31-45: 20","16-20: 1.7 
 21-30: 8.5 
 31-45: 12.9","16-20: 3.45% 
 21-30: 0.3% 
 31-45: 0.0%",,"16-20, 31-45","Femme Nyɔnu: 2.46% 
 Homme Sunnu: 4.13%","Femme Nyɔnu: 10 
 Homme Sunnu: 17","Femme Nyɔnu: 6.6 
 Homme Sunnu: 16.4","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 0.24%",,"Femme Nyɔnu, Homme Sunnu","Rural: 2.5% 
 Semi-urbain: 5.06% 
 Urbain: 2.33%","Rural: 13 
 Semi-urbain: 13 
 Urbain: 1","Rural: 17.4 
 Semi-urbain: 4.1 
 Urbain: 1.5","Rural: 0.39% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Crainte d'une atteinte à l'intimité (parties intimes du corps)/ Xɛsi e è nɔ ɖi ɖɔ è na gbà nǔ mɛɖesunɔ tɔn lɛ é (agbaza sín wǔjɔnú lɛ),"future_user: 0.0% 
 nonuser: 0.67% 
 past_user: 0.0% 
 user: 0.68%","future_user: 0 
 nonuser: 2 
 past_user: 0 
 user: 2","future_user: 0.0 
 nonuser: 0.2 
 past_user: 0.0 
 user: 2.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.43%","16-20: 0 
 21-30: 2 
 31-45: 2","16-20: 0.0 
 21-30: 1.7 
 31-45: 1.5","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.0%",,21-30,"Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.97%","Femme Nyɔnu: 0 
 Homme Sunnu: 4","Femme Nyɔnu: 0.0 
 Homme Sunnu: 3.2","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.0%",,Homme Sunnu,"Rural: 0.77% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Rural: 4 
 Semi-urbain: 0 
 Urbain: 0","Rural: 3.2 
 Semi-urbain: 0.0 
 Urbain: 0.0","Rural: 0.0% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
Doutes quant à l'efficacité des contraceptifs/ Nǔxokpɔ́n dó lee nǔ e nɔ glɔ́n ali nú vǐjiji lɛ é nɔ w’azɔ̌ gbɔn é wu,"future_user: 2.04% 
 nonuser: 4.01% 
 past_user: 0.79% 
 user: 9.83%","future_user: 2 
 nonuser: 12 
 past_user: 1 
 user: 29","future_user: 0.2 
 nonuser: 3.8 
 past_user: 0.7 
 user: 18.6","future_user: 1.02% 
 nonuser: 0.67% 
 past_user: 0.79% 
 user: 0.0%",,Low,barrier,"16-20: 3.45% 
 21-30: 4.88% 
 31-45: 5.84%","16-20: 1 
 21-30: 16 
 31-45: 27","16-20: 0.4 
 21-30: 9.7 
 31-45: 13.2","16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.43%",,21-30,"Femme Nyɔnu: 3.69% 
 Homme Sunnu: 7.04%","Femme Nyɔnu: 15 
 Homme Sunnu: 29","Femme Nyɔnu: 4.2 
 Homme Sunnu: 19.1","Femme Nyɔnu: 0.25% 
 Homme Sunnu: 0.73%",,"Femme Nyɔnu, Homme Sunnu","Rural: 5.39% 
 Semi-urbain: 6.23% 
 Urbain: 0.0%","Rural: 28 
 Semi-urbain: 16 
 Urbain: 0","Rural: 18.9 
 Semi-urbain: 4.4 
 Urbain: 0.0","Rural: 0.58% 
 Semi-urbain: 0.39% 
 Urbain: 0.0%",,"Rural, Semi-urbain"
Désir d'avoir des enfants : concurrence entre coépouses/ Jlǒ e è ɖó bo na jì vǐ é: agbahwlɛnhwlɛn ɖò asì hàtɔ́ lɛ tɛntin,"future_user: 0.0% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 2.03%","future_user: 0 
 nonuser: 1 
 past_user: 0 
 user: 6","future_user: 0.0 
 nonuser: 2.3 
 past_user: 0.0 
 user: 1.7","future_user: 0.0% 
 nonuser: 0.33% 
 past_user: 0.79% 
 user: 0.0%",,Low,barrier,"16-20: 0.0% 
 21-30: 0.3% 
 31-45: 1.3%","16-20: 0 
 21-30: 1 
 31-45: 6","16-20: 0.0 
 21-30: 2.3 
 31-45: 1.7","16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.0%",,"21-30, 31-45","Femme Nyɔnu: 1.47% 
 Homme Sunnu: 0.24%","Femme Nyɔnu: 6 
 Homme Sunnu: 1","Femme Nyɔnu: 2.7 
 Homme Sunnu: 1.3","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.0%",,Femme Nyɔnu,"Rural: 0.96% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%","Rural: 5 
 Semi-urbain: 2 
 Urbain: 0","Rural: 4.0 
 Semi-urbain: 0.0 
 Urbain: 0.0","Rural: 0.39% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural
Désir d'avoir des enfants : considère les enfants comme une réussite/ Jlǒ e è ɖó bo na jì vǐ é: nɔ kpɔ́n vǐ lɛ dó mɔ nǔ e è ɖu ɖ’eji é ɖé,"future_user: 0.0% 
 nonuser: 1.0% 
 past_user: 0.0% 
 user: 3.73%","future_user: 0 
 nonuser: 3 
 past_user: 0 
 user: 11","future_user: 0.0 
 nonuser: 11.4 
 past_user: 0.0 
 user: 7.5","future_user: 0.0% 
 nonuser: 0.67% 
 past_user: 0.0% 
 user: 0.0%",,Low,barrier,"16-20: 0.0% 
 21-30: 2.13% 
 31-45: 1.52%","16-20: 0 
 21-30: 7 
 31-45: 7","16-20: 0.0 
 21-30: 15.0 
 31-45: 3.9","16-20: 0.0% 
 21-30: 0.0% 
 31-45: 0.43%",,"21-30, 31-45","Femme Nyɔnu: 1.47% 
 Homme Sunnu: 1.94%","Femme Nyɔnu: 6 
 Homme Sunnu: 8","Femme Nyɔnu: 13.1 
 Homme Sunnu: 5.8","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.49%",,Homme Sunnu,"Rural: 1.54% 
 Semi-urbain: 1.95% 
 Urbain: 2.33%","Rural: 8 
 Semi-urbain: 5 
 Urbain: 1","Rural: 14.5 
 Semi-urbain: 3.1 
 Urbain: 1.4","Rural: 0.0% 
 Semi-urbain: 0.78% 
 Urbain: 0.0%",,Semi-urbain
