Name,Prevalence (All),N (All),Weighted N (All),Prevalence (Most important driver/barrier),Statements,Priority,Driver/Barrier,AGE_GROUP: Prevalence (All),AGE_GROUP: N (All),AGE_GROUP: Weighted N (All),AGE_GROUP: Prevalence (Most important driver/barrier),AGE_GROUP: Statements,AGE Focus,GENDER: Prevalence (All),GENDER: N (All),GENDER: Weighted N (All),GENDER: Prevalence (Most important driver/barrier),GENDER: Statements,GENDER Focus,URBAN_RURAL: Prevalence (All),URBAN_RURAL: N (All),URBAN_RURAL: Weighted N (All),URBAN_RURAL: Prevalence (Most important driver/barrier),URBAN_RURAL: Statements,URBAN_RURAL Focus,REGION: Prevalence (All),REGION: N (All),REGION: Weighted N (All),REGION: Prevalence (Most important driver/barrier),REGION: Statements,REGION Focus
Meilleure prise en charge des enfants : meilleur lien/relation avec les enfants/ Vǐ lɛ kpinkpɔn ganji: kancica/kancica ɖagbe xá vǐ lɛ,"future_user: 1.02% 
 nonuser: 0.99% 
 past_user: 3.91% 
 user: 10.37%","future_user: 1 
 nonuser: 3 
 past_user: 5 
 user: 31","future_user: 0.1 
 nonuser: 0.4 
 past_user: 13.0 
 user: 29.8","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.34%",,Low,driver,"16-20: 3.45% 
 21-30: 4.24% 
 31-45: 5.34%","16-20: 1 
 21-30: 14 
 31-45: 25","16-20: 0.1 
 21-30: 6.8 
 31-45: 36.4","16-20: 0.0% 
 21-30: 1.82% 
 31-45: 0.85%",,21-30,"Femme Nyɔnu: 2.68% 
 Homme Sunnu: 6.97%","Femme Nyɔnu: 11 
 Homme Sunnu: 29","Femme Nyɔnu: 3.6 
 Homme Sunnu: 39.7","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 2.16%",,Homme Sunnu,"Rural: 6.3% 
 Semi-urbain: 2.69% 
 Urbain: 0.0%","Rural: 33 
 Semi-urbain: 7 
 Urbain: 0","Rural: 20.3 
 Semi-urbain: 23.0 
 Urbain: 0.0","Rural: 0.95% 
 Semi-urbain: 1.92% 
 Urbain: 0.0%",,"Rural, Semi-urbain","Mid-South: 4.31% 
 North-East: 4.4% 
 North-West: 6.0% 
 South-South: 5.13%","Mid-South: 9 
 North-East: 7 
 North-West: 3 
 South-South: 21","Mid-South: 22.1 
 North-East: 11.0 
 North-West: 3.3 
 South-South: 6.8","Mid-South: 1.44% 
 North-East: 1.26% 
 North-West: 0.0% 
 South-South: 1.22%",,Mid-South
Meilleure prise en charge des enfants : paiement des produits de première nécessité tels que la nourriture et les vêtements/ Vǐ lɛ kpinkpɔn ganji: akwɛ súsú nú nǔ taji lɛ ɖi nǔɖuɖu kpo awu kpo,"future_user: 2.04% 
 nonuser: 0.66% 
 past_user: 2.34% 
 user: 8.03%","future_user: 2 
 nonuser: 2 
 past_user: 3 
 user: 24","future_user: 0.5 
 nonuser: 0.3 
 past_user: 2.9 
 user: 56.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 4.35%",,Low,driver,"16-20: 3.45% 
 21-30: 4.24% 
 31-45: 3.42%","16-20: 1 
 21-30: 14 
 31-45: 16","16-20: 0.2 
 21-30: 6.1 
 31-45: 54.1","16-20: 0.0% 
 21-30: 1.82% 
 31-45: 1.5%",,"21-30, 31-45","Femme Nyɔnu: 1.46% 
 Homme Sunnu: 6.01%","Femme Nyɔnu: 6 
 Homme Sunnu: 25","Femme Nyɔnu: 47.8 
 Homme Sunnu: 12.5","Femme Nyɔnu: 0.73% 
 Homme Sunnu: 2.4%",,Homme Sunnu,"Rural: 4.01% 
 Semi-urbain: 3.85% 
 Urbain: 0.0%","Rural: 21 
 Semi-urbain: 10 
 Urbain: 0","Rural: 9.4 
 Semi-urbain: 51.0 
 Urbain: 0.0","Rural: 1.53% 
 Semi-urbain: 1.54% 
 Urbain: 2.33%",,"Rural, Semi-urbain","Mid-South: 2.87% 
 North-East: 3.77% 
 North-West: 2.0% 
 South-South: 4.4%","Mid-South: 6 
 North-East: 6 
 North-West: 1 
 South-South: 18","Mid-South: 44.0 
 North-East: 5.0 
 North-West: 1.1 
 South-South: 10.2","Mid-South: 1.44% 
 North-East: 1.89% 
 North-West: 0.0% 
 South-South: 1.71%",,"North-East, South-South"
Meilleure prise en charge des enfants : éducation morale/ Vǐ lɛ kpinkpɔn ganji: walɔ ɖagbe kpinkplɔn,"future_user: 6.12% 
 nonuser: 1.32% 
 past_user: 3.12% 
 user: 12.71%","future_user: 6 
 nonuser: 4 
 past_user: 4 
 user: 38","future_user: 1.8 
 nonuser: 0.4 
 past_user: 0.5 
 user: 42.6","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 5.02%",,Low,driver,"16-20: 0.0% 
 21-30: 6.06% 
 31-45: 6.84%","16-20: 0 
 21-30: 20 
 31-45: 32","16-20: 0.0 
 21-30: 8.2 
 31-45: 37.2","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 2.14%",,"21-30, 31-45","Femme Nyɔnu: 2.43% 
 Homme Sunnu: 10.1%","Femme Nyɔnu: 10 
 Homme Sunnu: 42","Femme Nyɔnu: 12.2 
 Homme Sunnu: 33.2","Femme Nyɔnu: 0.73% 
 Homme Sunnu: 2.88%",,Homme Sunnu,"Rural: 6.3% 
 Semi-urbain: 7.31% 
 Urbain: 0.0%","Rural: 33 
 Semi-urbain: 19 
 Urbain: 0","Rural: 16.5 
 Semi-urbain: 28.8 
 Urbain: 0.0","Rural: 1.72% 
 Semi-urbain: 2.31% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 5.74% 
 North-East: 4.4% 
 North-West: 4.0% 
 South-South: 7.58%","Mid-South: 12 
 North-East: 7 
 North-West: 2 
 South-South: 31","Mid-South: 22.1 
 North-East: 10.5 
 North-West: 2.4 
 South-South: 10.3","Mid-South: 3.35% 
 North-East: 1.26% 
 North-West: 2.0% 
 South-South: 1.22%",,"Mid-South, South-South"
Méthode naturelle moins fiable/ Wlɛnwín jɔwamɔ tɔn e jí è ma sixu ɖeji dó ǎ é ɖé,"future_user: 4.08% 
 nonuser: 0.0% 
 past_user: 0.78% 
 user: 3.34%","future_user: 4 
 nonuser: 0 
 past_user: 1 
 user: 10","future_user: 4.1 
 nonuser: 0.0 
 past_user: 1.2 
 user: 7.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.34%",,Low,driver,"16-20: 0.0% 
 21-30: 1.52% 
 31-45: 2.14%","16-20: 0 
 21-30: 5 
 31-45: 10","16-20: 0.0 
 21-30: 3.7 
 31-45: 8.7","16-20: 0.0% 
 21-30: 1.21% 
 31-45: 0.0%",,"21-30, 31-45","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 3.12%","Femme Nyɔnu: 2 
 Homme Sunnu: 13","Femme Nyɔnu: 0.3 
 Homme Sunnu: 12.1","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.96%",,Homme Sunnu,"Rural: 2.48% 
 Semi-urbain: 0.38% 
 Urbain: 2.33%","Rural: 13 
 Semi-urbain: 1 
 Urbain: 1","Rural: 10.9 
 Semi-urbain: 0.2 
 Urbain: 1.3","Rural: 0.76% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural,"Mid-South: 0.0% 
 North-East: 8.18% 
 North-West: 0.0% 
 South-South: 0.49%","Mid-South: 0 
 North-East: 13 
 North-West: 0 
 South-South: 2","Mid-South: 0.0 
 North-East: 12.1 
 North-West: 0.0 
 South-South: 0.3","Mid-South: 0.0% 
 North-East: 2.52% 
 North-West: 0.0% 
 South-South: 0.0%",,North-East
Ont atteint le nombre d'enfants qu'ils souhaitaient/ Ko ɖó vǐ nabi e ba wɛ ye ɖè é,"future_user: 17.35% 
 nonuser: 4.64% 
 past_user: 9.38% 
 user: 12.71%","future_user: 17 
 nonuser: 14 
 past_user: 12 
 user: 38","future_user: 7.1 
 nonuser: 6.1 
 past_user: 16.9 
 user: 14.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 10.7%",,Low,driver,"16-20: 3.45% 
 21-30: 6.67% 
 31-45: 12.39%","16-20: 1 
 21-30: 22 
 31-45: 58","16-20: 0.1 
 21-30: 7.0 
 31-45: 37.5","16-20: 0.0% 
 21-30: 1.21% 
 31-45: 5.98%",,31-45,"Femme Nyɔnu: 11.44% 
 Homme Sunnu: 8.17%","Femme Nyɔnu: 47 
 Homme Sunnu: 34","Femme Nyɔnu: 26.9 
 Homme Sunnu: 17.7","Femme Nyɔnu: 3.89% 
 Homme Sunnu: 3.85%",,"Femme Nyɔnu, Homme Sunnu","Rural: 8.59% 
 Semi-urbain: 13.85% 
 Urbain: 0.0%","Rural: 45 
 Semi-urbain: 36 
 Urbain: 0","Rural: 16.2 
 Semi-urbain: 28.4 
 Urbain: 0.0","Rural: 3.05% 
 Semi-urbain: 6.15% 
 Urbain: 0.0%",,Semi-urbain,"Mid-South: 7.18% 
 North-East: 2.52% 
 North-West: 4.0% 
 South-South: 14.67%","Mid-South: 15 
 North-East: 4 
 North-West: 2 
 South-South: 60","Mid-South: 11.5 
 North-East: 6.3 
 North-West: 2.4 
 South-South: 24.3","Mid-South: 3.83% 
 North-East: 0.0% 
 North-West: 2.0% 
 South-South: 5.62%",,"Mid-South, South-South"
Réduction du stress quotidien de la mère : la mère a davantage de temps pour se reposer dans la vie quotidienne/ É nɔ ɖè adohu adohu ayihɔngbe ayihɔngbe tɔn kpò nú nɔ ɔ: nɔ ɔ nɔ ɖó hwenu gègě bo nɔ gbɔjɛ ɖò gbɛzán tɔn ayihɔngbe ayihɔngbe tɔn mɛ,"future_user: 1.02% 
 nonuser: 0.99% 
 past_user: 0.78% 
 user: 3.01%","future_user: 1 
 nonuser: 3 
 past_user: 1 
 user: 9","future_user: 0.4 
 nonuser: 10.4 
 past_user: 0.0 
 user: 13.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 1.34%",,Low,driver,"16-20: 0.0% 
 21-30: 1.82% 
 31-45: 1.71%","16-20: 0 
 21-30: 6 
 31-45: 8","16-20: 0.0 
 21-30: 6.4 
 31-45: 17.7","16-20: 3.45% 
 21-30: 0.0% 
 31-45: 0.64%",,"16-20, 21-30, 31-45","Femme Nyɔnu: 1.46% 
 Homme Sunnu: 1.92%","Femme Nyɔnu: 6 
 Homme Sunnu: 8","Femme Nyɔnu: 22.4 
 Homme Sunnu: 1.6","Femme Nyɔnu: 0.49% 
 Homme Sunnu: 0.48%",,"Femme Nyɔnu, Homme Sunnu","Rural: 1.91% 
 Semi-urbain: 1.15% 
 Urbain: 2.33%","Rural: 10 
 Semi-urbain: 3 
 Urbain: 1","Rural: 12.2 
 Semi-urbain: 11.4 
 Urbain: 0.4","Rural: 0.76% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural,"Mid-South: 0.96% 
 North-East: 0.0% 
 North-West: 4.0% 
 South-South: 2.44%","Mid-South: 2 
 North-East: 0 
 North-West: 2 
 South-South: 10","Mid-South: 11.0 
 North-East: 0.0 
 North-West: 10.4 
 South-South: 2.6","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.98%",,"North-West, South-South"
Réduction du stress quotidien de la mère : les enfants aident aux tâches ménagères/ É nɔ ɖè adohu adohu ayihɔngbe ayihɔngbe tɔn kpò nú nɔ ɔ: vǐ lɛ nɔ d’alɔ ɖò xwégbezɔ́ lɛ mɛ,"future_user: 1.02% 
 nonuser: 0.33% 
 past_user: 0.0% 
 user: 3.34%","future_user: 1 
 nonuser: 1 
 past_user: 0 
 user: 10","future_user: 0.2 
 nonuser: 0.0 
 past_user: 0.0 
 user: 2.9","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 2.34%",,Low,driver,"16-20: 0.0% 
 21-30: 1.52% 
 31-45: 1.5%","16-20: 0 
 21-30: 5 
 31-45: 7","16-20: 0.0 
 21-30: 1.5 
 31-45: 1.6","16-20: 0.0% 
 21-30: 1.21% 
 31-45: 0.64%",,"21-30, 31-45","Femme Nyɔnu: 0.73% 
 Homme Sunnu: 2.16%","Femme Nyɔnu: 3 
 Homme Sunnu: 9","Femme Nyɔnu: 0.4 
 Homme Sunnu: 2.7","Femme Nyɔnu: 0.97% 
 Homme Sunnu: 0.72%",,"Femme Nyɔnu, Homme Sunnu","Rural: 2.29% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","Rural: 12 
 Semi-urbain: 0 
 Urbain: 0","Rural: 3.1 
 Semi-urbain: 0.0 
 Urbain: 0.0","Rural: 0.95% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%",,Rural,"Mid-South: 0.0% 
 North-East: 0.63% 
 North-West: 0.0% 
 South-South: 2.69%","Mid-South: 0 
 North-East: 1 
 North-West: 0 
 South-South: 11","Mid-South: 0.0 
 North-East: 0.9 
 North-West: 0.0 
 South-South: 2.2","Mid-South: 0.48% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 1.47%",,South-South
Réduction du stress quotidien de la mère : éviter d'avoir trop d'enfants à charge en même temps/ É nɔ ɖè adohu adohu ayihɔngbe ayihɔngbe tɔn lɛ kpò nú nɔ ɔ: é nɔ nyì alɔ nú vǐ gègě ɖiɖó bo na kpé nukún dó ye wu ɖò hwe ɖokpo ɔ nu,"future_user: 4.08% 
 nonuser: 0.33% 
 past_user: 2.34% 
 user: 3.68%","future_user: 4 
 nonuser: 1 
 past_user: 3 
 user: 11","future_user: 1.0 
 nonuser: 0.1 
 past_user: 1.1 
 user: 46.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 0.33%",,Low,driver,"16-20: 3.45% 
 21-30: 2.73% 
 31-45: 1.92%","16-20: 1 
 21-30: 9 
 31-45: 9","16-20: 0.0 
 21-30: 3.1 
 31-45: 45.5","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.0%",,21-30,"Femme Nyɔnu: 2.68% 
 Homme Sunnu: 1.92%","Femme Nyɔnu: 11 
 Homme Sunnu: 8","Femme Nyɔnu: 45.7 
 Homme Sunnu: 2.9","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.24%",,Homme Sunnu,"Rural: 3.24% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%","Rural: 17 
 Semi-urbain: 2 
 Urbain: 0","Rural: 4.2 
 Semi-urbain: 44.3 
 Urbain: 0.0","Rural: 0.19% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%",,Rural,"Mid-South: 1.44% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 3.91%","Mid-South: 3 
 North-East: 0 
 North-West: 0 
 South-South: 16","Mid-South: 44.0 
 North-East: 0.0 
 North-West: 0.0 
 South-South: 4.6","Mid-South: 0.0% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.24%",,South-South
Éviter les grossesses hors mariage/ Nyì alɔ nú xoɖiɖe ɖò alɔwliwli gudo,"future_user: 2.04% 
 nonuser: 1.32% 
 past_user: 2.34% 
 user: 5.02%","future_user: 2 
 nonuser: 4 
 past_user: 3 
 user: 15","future_user: 0.1 
 nonuser: 0.1 
 past_user: 1.4 
 user: 2.1","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.01%",,Low,driver,"16-20: 3.45% 
 21-30: 3.03% 
 31-45: 2.78%","16-20: 1 
 21-30: 10 
 31-45: 13","16-20: 0.0 
 21-30: 2.9 
 31-45: 0.8","16-20: 0.0% 
 21-30: 1.52% 
 31-45: 0.85%",,21-30,"Femme Nyɔnu: 0.73% 
 Homme Sunnu: 5.05%","Femme Nyɔnu: 3 
 Homme Sunnu: 21","Femme Nyɔnu: 3.0 
 Homme Sunnu: 0.7","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 1.92%",,Homme Sunnu,"Rural: 3.82% 
 Semi-urbain: 0.77% 
 Urbain: 4.65%","Rural: 20 
 Semi-urbain: 2 
 Urbain: 2","Rural: 1.0 
 Semi-urbain: 0.0 
 Urbain: 2.6","Rural: 1.34% 
 Semi-urbain: 0.77% 
 Urbain: 0.0%",,"Rural, Urbain","Mid-South: 8.61% 
 North-East: 1.26% 
 North-West: 0.0% 
 South-South: 0.98%","Mid-South: 18 
 North-East: 2 
 North-West: 0 
 South-South: 4","Mid-South: 0.5 
 North-East: 2.6 
 North-West: 0.0 
 South-South: 0.5","Mid-South: 3.83% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.24%",,Mid-South
Éviter les grossesses non désirées/ Nyì alɔ nú xo e è ma jló ǎ é .,"future_user: 29.59% 
 nonuser: 8.94% 
 past_user: 32.81% 
 user: 58.53%","future_user: 29 
 nonuser: 27 
 past_user: 42 
 user: 175","future_user: 31.7 
 nonuser: 20.9 
 past_user: 88.3 
 user: 153.2","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 51.84%",,Very high,driver,"16-20: 41.38% 
 21-30: 35.15% 
 31-45: 30.98%","16-20: 12 
 21-30: 116 
 31-45: 145","16-20: 15.6 
 21-30: 91.6 
 31-45: 186.9","16-20: 17.24% 
 21-30: 18.18% 
 31-45: 19.23%",,"16-20, 21-30, 31-45","Femme Nyɔnu: 42.09% 
 Homme Sunnu: 24.04%","Femme Nyɔnu: 173 
 Homme Sunnu: 100","Femme Nyɔnu: 229.6 
 Homme Sunnu: 64.5","Femme Nyɔnu: 23.11% 
 Homme Sunnu: 14.42%",,"Femme Nyɔnu, Homme Sunnu","Rural: 34.73% 
 Semi-urbain: 30.77% 
 Urbain: 25.58%","Rural: 182 
 Semi-urbain: 80 
 Urbain: 11","Rural: 102.7 
 Semi-urbain: 172.8 
 Urbain: 18.5","Rural: 19.27% 
 Semi-urbain: 17.69% 
 Urbain: 18.6%",,"Rural, Semi-urbain, Urbain","Mid-South: 26.79% 
 North-East: 18.24% 
 North-West: 46.0% 
 South-South: 40.34%","Mid-South: 56 
 North-East: 29 
 North-West: 23 
 South-South: 165","Mid-South: 143.8 
 North-East: 44.8 
 North-West: 48.8 
 South-South: 56.7","Mid-South: 11.48% 
 North-East: 10.69% 
 North-West: 24.0% 
 South-South: 24.94%",,"North-West, South-South"
Éviter les maladies hors mariage/ Azɔn e ma ɖò alɔwliwli mɛ ǎ lɛ é nyì alɔ nú,"future_user: 1.02% 
 nonuser: 0.66% 
 past_user: 3.12% 
 user: 5.02%","future_user: 1 
 nonuser: 2 
 past_user: 4 
 user: 15","future_user: 0.0 
 nonuser: 0.0 
 past_user: 0.1 
 user: 2.7","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.0% 
 user: 3.34%",,Low,driver,"16-20: 3.45% 
 21-30: 2.42% 
 31-45: 2.78%","16-20: 1 
 21-30: 8 
 31-45: 13","16-20: 0.0 
 21-30: 0.8 
 31-45: 2.1","16-20: 3.45% 
 21-30: 1.21% 
 31-45: 1.07%",,16-20,"Femme Nyɔnu: 0.24% 
 Homme Sunnu: 5.05%","Femme Nyɔnu: 1 
 Homme Sunnu: 21","Femme Nyɔnu: 0.5 
 Homme Sunnu: 2.4","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 2.4%",,Homme Sunnu,"Rural: 3.63% 
 Semi-urbain: 1.15% 
 Urbain: 0.0%","Rural: 19 
 Semi-urbain: 3 
 Urbain: 0","Rural: 2.4 
 Semi-urbain: 0.5 
 Urbain: 0.0","Rural: 1.72% 
 Semi-urbain: 0.38% 
 Urbain: 0.0%",,Rural,"Mid-South: 8.61% 
 North-East: 0.0% 
 North-West: 2.0% 
 South-South: 0.73%","Mid-South: 18 
 North-East: 0 
 North-West: 1 
 South-South: 3","Mid-South: 0.5 
 North-East: 0.0 
 North-West: 1.3 
 South-South: 1.1","Mid-South: 4.31% 
 North-East: 0.0% 
 North-West: 0.0% 
 South-South: 0.24%",,Mid-South
Association des contraceptifs à la promiscuité / l’adultère/ Kplékplé nǔ e nɔ glɔ́n ali nú vǐjiji lɛ é tɔn kpo xóɖóxámɛ / agalɛ kpo tɔn,"future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.78% 
 user: 1.34%","future_user: 0 
 nonuser: 0 
 past_user: 1 
 user: 4","future_user: 0.0 
 nonuser: 0.0 
 past_user: 1.2 
 user: 2.5","future_user: 0.0% 
 nonuser: 0.0% 
 past_user: 0.78% 
 user: 0.0%","L'utilisation de contraceptifs n'encourage pas la promiscuité 
 future_user: 62.69% 
 nonuser: 49.74% 
 past_user: 59.34% 
 user: 59.29%

",Low,barrier,"16-20: 0.0% 
 21-30: 0.61% 
 31-45: 0.64%","16-20: 0 
 21-30: 2 
 31-45: 3","16-20: 0.0 
 21-30: 1.4 
 31-45: 2.2","16-20: 0.0% 
 21-30: 0.3% 
 31-45: 0.0%","L'utilisation de contraceptifs n'encourage pas la promiscuité 
 16-20: 62.5% 
 21-30: 55.11% 
 31-45: 57.19%

","21-30, 31-45","Femme Nyɔnu: 0.24% 
 Homme Sunnu: 0.96%","Femme Nyɔnu: 1 
 Homme Sunnu: 4","Femme Nyɔnu: 0.1 
 Homme Sunnu: 3.5","Femme Nyɔnu: 0.0% 
 Homme Sunnu: 0.24%","L'utilisation de contraceptifs n'encourage pas la promiscuité 
 Femme Nyɔnu: 62.92% 
 Homme Sunnu: 50.97%

",Homme Sunnu,"Rural: 0.38% 
 Semi-urbain: 0.77% 
 Urbain: 2.33%","Rural: 2 
 Semi-urbain: 2 
 Urbain: 1","Rural: 2.0 
 Semi-urbain: 0.4 
 Urbain: 1.3","Rural: 0.19% 
 Semi-urbain: 0.0% 
 Urbain: 0.0%","L'utilisation de contraceptifs n'encourage pas la promiscuité 
 Rural: 56.8% 
 Semi-urbain: 56.03% 
 Urbain: 58.33%

","Rural, Urbain","Mid-South: 0.0% 
 North-East: 1.89% 
 North-West: 0.0% 
 South-South: 0.49%","Mid-South: 0 
 North-East: 3 
 North-West: 0 
 South-South: 2","Mid-South: 0.0 
 North-East: 3.3 
 North-West: 0.0 
 South-South: 0.4","Mid-South: 0.0% 
 North-East: 0.63% 
 North-West: 0.0% 
 South-South: 0.0%","L'utilisation de contraceptifs n'encourage pas la promiscuité 
 Mid-South: 62.18% 
 North-East: 53.57% 
 North-West: 92.31% 
 South-South: 52.08%

","North-East, North-West"
"Autres raisons non mentionnées ici, Veuillez préciser/ Hwɛjijɔ ɖevo e è ma ɖɔ ɖò fí ǎ lɛ é. Mi kɛnklɛn bo ɖɔ","future_user: 8.16% 
 nonuser: 9.27% 
 past_user: 16.41% 
 user: 7.36%","future_user: 8 
 nonuser: 28 
 past_user: 21 
 user: 22","future_user: 2.7 
 nonuser: 10.4 
 past_user: 39.5 
 user: 5.0","future_user: 7.14% 
 nonuser: 4.64% 
 past_user: 14.84% 
 user: 0.0%","Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.Hwɛjijɔ ɖagbe ɖé ɖè bo na zɔ́n bɔ un ma na zán azɔwanú e nɔ glɔ́n ali nú vǐjiji é ǎ. 
 future_user: 47.3% 
 nonuser: 35.34% 
 past_user: 49.02% 
 user: 70.94%

",Very high,barrier,"16-20: 10.34% 
 21-30: 8.79% 
 31-45: 10.04%","16-20: 3 
 21-30: 29 
 31-45: 47","16-20: 0.3 
 21-30: 6.8 
 31-45: 50.6","16-20: 10.34% 
 21-30: 3.64% 
 31-45: 5.34%","Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.Hwɛjijɔ ɖagbe ɖé ɖè bo na zɔ́n bɔ un ma na zán azɔwanú e nɔ glɔ́n ali nú vǐjiji é ǎ. 
 16-20: 47.83% 
 21-30: 52.74% 
 31-45: 53.07%

",16-20,"Femme Nyɔnu: 10.95% 
 Homme Sunnu: 8.17%","Femme Nyɔnu: 45 
 Homme Sunnu: 34","Femme Nyɔnu: 37.7 
 Homme Sunnu: 20.1","Femme Nyɔnu: 6.08% 
 Homme Sunnu: 3.61%","Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.Hwɛjijɔ ɖagbe ɖé ɖè bo na zɔ́n bɔ un ma na zán azɔwanú e nɔ glɔ́n ali nú vǐjiji é ǎ. 
 Femme Nyɔnu: 54.32% 
 Homme Sunnu: 50.96%

","Femme Nyɔnu, Homme Sunnu","Rural: 9.92% 
 Semi-urbain: 10.0% 
 Urbain: 2.33%","Rural: 52 
 Semi-urbain: 26 
 Urbain: 1","Rural: 11.1 
 Semi-urbain: 44.9 
 Urbain: 1.7","Rural: 5.53% 
 Semi-urbain: 4.23% 
 Urbain: 0.0%","Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.Hwɛjijɔ ɖagbe ɖé ɖè bo na zɔ́n bɔ un ma na zán azɔwanú e nɔ glɔ́n ali nú vǐjiji é ǎ. 
 Rural: 51.64% 
 Semi-urbain: 53.92% 
 Urbain: 60.71%

",Rural,"Mid-South: 6.7% 
 North-East: 0.63% 
 North-West: 10.0% 
 South-South: 14.43%","Mid-South: 14 
 North-East: 1 
 North-West: 5 
 South-South: 59","Mid-South: 33.3 
 North-East: 0.9 
 North-West: 5.8 
 South-South: 17.8","Mid-South: 3.83% 
 North-East: 0.0% 
 North-West: 2.0% 
 South-South: 7.58%","Il n'y a aucune raison valable qui m'empêche d'utiliser un moyen de contraception.Hwɛjijɔ ɖagbe ɖé ɖè bo na zɔ́n bɔ un ma na zán azɔwanú e nɔ glɔ́n ali nú vǐjiji é ǎ. 
 Mid-South: 61.31% 
 North-East: 63.41% 
 North-West: 55.81% 
 South-South: 44.25%

",South-South
